Maintenance_ID,Asset_ID,Maintenance_Type,Date,Cost_USD,Downtime_Minutes,Technician
MNT-5000,AST-1101,Reactive,2023-12-06,4221,166,Austin Gonzalez
MNT-5001,AST-1488,Preventive,2023-05-26,1762,2,Joshua Patel
MNT-5002,AST-1199,Predictive,2023-09-15,1802,26,Judith Guzman
MNT-5003,AST-1052,Reactive,2023-02-06,2714,66,Dr. Patricia Taylor
MNT-5004,AST-1156,Emergency,2023-06-13,2478,258,Julia Rogers
MNT-5005,AST-1484,Preventive,2023-03-06,785,28,Claudia Murphy
MNT-5006,AST-1413,Emergency,2023-06-17,14494,135,Rebecca Hurst
MNT-5007,AST-1066,Reactive,2023-11-13,11258,179,Brian Hale II
MNT-5008,AST-1451,Predictive,2023-05-16,1265,29,Jacob Howard
MNT-5009,AST-1206,Preventive,2023-09-10,1370,29,Julie Goodman
MNT-5010,AST-1384,Predictive,2023-08-12,1271,17,Sarah French
MNT-5011,AST-1340,Preventive,2023-07-20,947,40,Nicholas Griffin
MNT-5012,AST-1033,Predictive,2023-04-08,833,16,Austin Robles
MNT-5013,AST-1319,Reactive,2023-12-08,4726,105,Linda Rodriguez
MNT-5014,AST-1147,Predictive,2023-11-26,630,10,Mr. Evan Thomas
MNT-5015,AST-1368,Predictive,2023-01-25,867,29,Timothy Cisneros
MNT-5016,AST-1434,Preventive,2023-02-22,1229,44,Tiffany Brown
MNT-5017,AST-1017,Preventive,2023-09-19,584,9,Susan Buckley
MNT-5018,AST-1235,Reactive,2023-07-22,15000,103,Sharon Richardson
MNT-5019,AST-1453,Preventive,2023-06-07,750,34,Jonathan Erickson
MNT-5020,AST-1321,Reactive,2023-10-05,3978,125,Scott Wheeler
MNT-5021,AST-1054,Reactive,2023-11-05,2364,204,Steve Powell
MNT-5022,AST-1289,Preventive,2023-09-16,1567,42,Anthony Davis
MNT-5023,AST-1333,Predictive,2023-04-14,1562,16,Leah Davidson
MNT-5024,AST-1201,Predictive,2023-06-02,1196,24,Michael White
MNT-5025,AST-1162,Reactive,2023-04-14,8138,111,Aaron Wilson
MNT-5026,AST-1189,Reactive,2023-03-19,5475,297,David Jimenez
MNT-5027,AST-1112,Predictive,2023-06-07,818,33,Martha Garcia
MNT-5028,AST-1487,Preventive,2023-04-06,1386,44,Martin Lee
MNT-5029,AST-1319,Predictive,2023-07-24,1622,2,Julie Simpson
MNT-5030,AST-1084,Emergency,2023-09-08,8814,268,Jeremy Romero
MNT-5031,AST-1484,Preventive,2023-04-21,748,19,Julie Lopez
MNT-5032,AST-1163,Emergency,2023-06-14,11412,300,Curtis Daugherty
MNT-5033,AST-1093,Preventive,2023-09-07,1051,21,Melissa Carey
MNT-5034,AST-1434,Preventive,2023-09-09,1241,10,Jeffrey Moon
MNT-5035,AST-1217,Reactive,2023-11-26,6809,223,Daniel Marshall
MNT-5036,AST-1220,Preventive,2023-02-19,1776,10,Anthony Martinez
MNT-5037,AST-1013,Reactive,2023-10-22,4806,156,Cameron Riley
MNT-5038,AST-1383,Preventive,2023-02-09,1043,10,Christian Harper
MNT-5039,AST-1223,Preventive,2023-10-24,1107,16,Dawn Marshall
MNT-5040,AST-1081,Predictive,2023-09-18,1565,33,George Wilson
MNT-5041,AST-1049,Reactive,2023-05-17,9098,177,Jennifer Young
MNT-5042,AST-1046,Preventive,2023-07-12,1070,41,Jennifer Brown MD
MNT-5043,AST-1224,Emergency,2023-02-12,5541,256,Amy Strong
MNT-5044,AST-1097,Preventive,2023-08-22,1352,19,Melissa Hanson
MNT-5045,AST-1247,Predictive,2023-06-15,1304,33,Charlene Smith
MNT-5046,AST-1193,Reactive,2023-07-23,8507,181,Sarah Casey
MNT-5047,AST-1338,Predictive,2023-05-26,598,43,Austin Jones
MNT-5048,AST-1131,Reactive,2023-10-21,9970,178,Cheryl Mcdonald
MNT-5049,AST-1458,Preventive,2023-06-16,673,6,George Smith
MNT-5050,AST-1024,Reactive,2023-10-21,13052,289,Travis Hobbs
MNT-5051,AST-1320,Reactive,2023-11-18,7236,218,Jason Lewis
MNT-5052,AST-1416,Predictive,2023-03-12,1858,39,Joanne Hill
MNT-5053,AST-1264,Predictive,2023-05-20,714,7,Eugene Rodriguez
MNT-5054,AST-1445,Preventive,2023-06-01,1528,13,Thomas Gay
MNT-5055,AST-1380,Reactive,2023-06-19,11793,69,Aaron Coleman
MNT-5056,AST-1384,Preventive,2023-07-15,840,32,Stephanie Yang
MNT-5057,AST-1262,Preventive,2023-10-21,536,1,Stephanie Smith
MNT-5058,AST-1329,Predictive,2023-01-23,1989,17,Megan Lopez
MNT-5059,AST-1200,Reactive,2023-09-18,11946,229,Kylie Anderson
MNT-5060,AST-1086,Preventive,2023-11-26,1549,39,Andrea Cooke
MNT-5061,AST-1450,Emergency,2023-10-08,11112,83,Suzanne Morgan
MNT-5062,AST-1313,Preventive,2023-01-27,941,31,Sherry Martin DDS
MNT-5063,AST-1468,Reactive,2023-06-23,3324,130,Jill Murphy
MNT-5064,AST-1318,Reactive,2023-03-31,12657,221,Jeremiah Sutton
MNT-5065,AST-1336,Reactive,2023-02-01,6458,67,Alisha Jones
MNT-5066,AST-1127,Emergency,2023-11-06,2266,134,John Copeland
MNT-5067,AST-1030,Preventive,2023-11-26,1282,38,Michael Brown
MNT-5068,AST-1094,Emergency,2023-06-09,5528,164,William Carter
MNT-5069,AST-1317,Reactive,2023-04-17,12095,183,Robert Rodriguez
MNT-5070,AST-1032,Predictive,2023-08-24,1187,28,Alexis Gregory
MNT-5071,AST-1077,Preventive,2023-03-14,1172,4,Sharon Wallace
MNT-5072,AST-1170,Preventive,2023-03-14,1521,44,Jeremy Walsh DDS
MNT-5073,AST-1406,Reactive,2023-01-26,4821,182,Donald Conway
MNT-5074,AST-1404,Preventive,2023-09-10,1333,7,Dr. Shannon Hardy
MNT-5075,AST-1364,Preventive,2023-11-12,1886,39,Michael Smith
MNT-5076,AST-1134,Preventive,2023-02-21,1705,34,Jose Roberts
MNT-5077,AST-1155,Reactive,2023-12-17,8021,149,Lisa Flowers
MNT-5078,AST-1419,Predictive,2023-08-16,1065,31,Mr. Ryan Smith
MNT-5079,AST-1219,Preventive,2023-02-19,1852,39,Tony Williams
MNT-5080,AST-1265,Preventive,2023-04-17,1468,10,Shelley Velazquez
MNT-5081,AST-1162,Preventive,2023-09-07,1707,0,Vincent Williams
MNT-5082,AST-1215,Reactive,2023-09-24,6290,146,Jorge Bryant
MNT-5083,AST-1268,Reactive,2023-07-13,3494,122,Angela Diaz
MNT-5084,AST-1175,Reactive,2023-03-15,6327,157,Joseph Johnson
MNT-5085,AST-1490,Predictive,2023-04-25,1251,14,Joshua Miller
MNT-5086,AST-1025,Predictive,2023-06-06,1766,20,James Wilson
MNT-5087,AST-1114,Preventive,2023-02-18,1025,24,Jennifer Allen
MNT-5088,AST-1468,Preventive,2023-08-17,1557,24,Jessica Roberts
MNT-5089,AST-1322,Reactive,2023-06-21,9971,211,Michael Foster
MNT-5090,AST-1211,Reactive,2023-01-21,14407,271,Lawrence Schultz
MNT-5091,AST-1089,Preventive,2023-05-31,812,30,Christopher Michael
MNT-5092,AST-1026,Reactive,2023-12-09,8126,70,James Adams
MNT-5093,AST-1452,Predictive,2023-09-11,1171,18,Joshua Anderson
MNT-5094,AST-1024,Preventive,2023-09-23,1908,38,Gabriela Acosta
MNT-5095,AST-1450,Reactive,2023-07-07,8714,244,Michael Richardson
MNT-5096,AST-1099,Preventive,2023-10-02,561,10,Cathy Simon
MNT-5097,AST-1038,Predictive,2023-08-05,555,17,Peter Mccoy
MNT-5098,AST-1083,Reactive,2023-03-22,5324,266,Alexandria Washington
MNT-5099,AST-1452,Emergency,2023-04-16,8171,152,Mary Lindsey
MNT-5100,AST-1455,Emergency,2023-05-30,14972,90,Kayla Francis
MNT-5101,AST-1152,Emergency,2023-12-04,9042,157,Jacob Francis
MNT-5102,AST-1032,Predictive,2023-01-14,1099,14,Jennifer Padilla
MNT-5103,AST-1298,Predictive,2023-04-21,1336,22,Kevin Ritter
MNT-5104,AST-1094,Preventive,2023-12-14,898,30,Devin Baldwin
MNT-5105,AST-1324,Preventive,2023-07-03,1103,33,Erin Burton
MNT-5106,AST-1298,Reactive,2023-05-15,12770,249,Kelly Camacho
MNT-5107,AST-1253,Emergency,2023-10-18,14436,280,Brandy Simpson
MNT-5108,AST-1239,Predictive,2023-07-14,1963,19,Katie Gamble
MNT-5109,AST-1454,Preventive,2023-02-21,1058,35,Wendy Simmons
MNT-5110,AST-1193,Reactive,2023-12-30,11730,193,Kelsey Kaufman
MNT-5111,AST-1255,Predictive,2023-11-30,1911,20,Harold Rivera
MNT-5112,AST-1227,Emergency,2023-12-26,14348,232,Catherine Levine
MNT-5113,AST-1213,Predictive,2023-11-10,1426,32,Nicole Andrews
MNT-5114,AST-1017,Preventive,2023-07-15,664,44,Mr. Antonio Lopez
MNT-5115,AST-1217,Preventive,2023-05-28,1055,40,Clifford Kim
MNT-5116,AST-1022,Reactive,2023-11-11,7131,83,Brandon Evans
MNT-5117,AST-1398,Reactive,2023-09-20,6833,128,Nicholas Alexander
MNT-5118,AST-1300,Reactive,2023-05-22,7261,194,Angel Jones
MNT-5119,AST-1148,Preventive,2023-05-04,858,30,Amber Smith
MNT-5120,AST-1366,Reactive,2023-09-15,14374,262,Allen Wright
MNT-5121,AST-1430,Preventive,2023-07-31,1483,33,Nicholas Johnson
MNT-5122,AST-1020,Preventive,2023-07-05,806,10,Dale Spencer
